Hin school;0;school;School;9 Hoi Ting Rd, Mong Kok;22.313062, 114.165062
CUHK MBA Town Centre;1;school;Learning Center;Unit B, 1/F, Bank Of America Tower, 12 Harcourt Road, Admiralty;22.280688, 114.163063
St. Margaret's Co-Educational English Secondary And Primary School;42;school;Primary School;33 Sham Mong Rd, Cheung Sha Wan;22.330563, 114.151812
The University of Hong Kong School of Chinese Medicine;2;school;University Department;Pauline Chan Building, 10 Sassoon Rd, Sandy Bay;22.268437, 114.128688
Maryknoll Fathers' School Secondary Section;22;school;High school;Tai Hang Tung, 2 To Yuen St, Kowloon Tong;22.334188, 114.173313
Hong Kong School of Design;0;school;Educational Institution;Jordan, Nathan Rd, 430號436 號 彌 敦 商務 大廈 3 樓 Nathan Commercial Building;22.309688, 114.171563
Sons’ school (Tin Wan Chi Nam Primary School);0;school;School;Tin Wan;22.251938, 114.151063
The Woodland Harbourside Pre-School;1;school;Preschool;Ocean Court Block 1, G/F,, 3 Aberdeen Praya Rd, Aberdeen;22.247188, 114.158938
CDNIS;3;school;School;Canadian International School, 36 Nam Long Shan Rd, Wong Chuk Hang;22.242188, 114.167188
The International Montessori School (Kindergarten Section)(South Horizons Campus);2;school;Educational Institution;G/F, Blocks 23 to 23A, Phase III Ap Lei Chau, Hong Kong Ap Lei Chau Hong Kong Island HK, South Horizon Drive, South Horizons;22.241687, 114.148688
Victoria Shanghai Academy;37;school;School;道19號 no, 香港香港仔深灣, 19 Shum Wan Rd, Aberdeen;22.241687, 114.166313
Tai Kok Tsui Catholic Primary School;32;school;Primary School;148 Tai Kok Tsui Rd, Tai Kok Tsui;22.322062, 114.162438
Tsung Tsin Primary School and Kindergarten;29;school;Primary School;58 Tai Po Rd, Shek Kip Mei;22.329188, 114.167813
Tack Ching Girls' Secondary School;33;school;Girls' High School;9號 Hing Wah St W, Cheung Sha Wan;22.332063, 114.149437
Stamford American;14;school;School;25號 Man Fuk Rd, Ho Man Tin;22.319313, 114.178563
Westbourne School of English;0;school;School;Mong Kok Rd, Mong Kok;22.320813, 114.168688
Abhyaas - School of Yoga & Wellness 旺角 瑜珈中心;10;school;Yoga Retreat Center;Mong Kok, 彌敦道608號總統商業中心8樓804 -旺角瑜珈 Yoga Mong Kok;
聖公會基榮小學 S.K.H. Kei Wing Primary School;14;school;Primary School;S.k.h. Kei Wing Primary School, Lai Chi Kok Rd, Mong Kok;22.322313, 114.167938
Chinese International School;50;school;International School;1 Hau Yuen Path;22.283563, 114.197938
Diocesan Boys' School Primary Division;0;school;School;131 Argyle St, Kadoorie Hill;22.321312, 114.173188
Pui Ching Primary School;51;school;Primary School;80 Waterloo Rd, Ho Man Tin;22.318188, 114.175563
Marymount Primary School;22;school;Primary School;336 Tai Hang Rd, Happy Valley;22.262938, 114.190563
Rosaryhill School Primary Section;6;school;Elementary School;41B Stubbs Rd;22.263563, 114.182938
Canadian International School;36;school;International School;36 Nam Long Shan Rd, Aberdeen;22.242313, 114.167313
Kowloon Tong Funful English Primary School;2;school;Primary School;1 Cumberland Rd, Kowloon Tong;22.327187, 114.176188
The Hong Kong Polytechnic University Lui Che Woo Building;1;school;School;Hung Hom, 紅磡;22.302812, 114.179562
Diocesan Boys' School Primary Division;5;school;Primary School;Kadoorie Hill, 亞皆老街131號;22.321312, 114.173188
Po Kok Primary School;12;school;Primary School;11 Shan Kwong Rd, Happy Valley;22.267313, 114.185313
American International School;36;school;International School;125 Waterloo Rd, Kowloon Tong;22.331687, 114.178312
South Island School;20;school;School;50 Nam Fung Rd, Deep Water Bay;22.254063, 114.182813
Aoi Pui School;2;school;Special Education School;16 Station Ln, Hung Hom;
Hong Kong True Light Secondary School;6;school;School;50 Tai Hang Rd, Tai Hang;22.275563, 114.194063
Kowloon Tong School (Primary Section);32;school;Primary School;金巴倫道２７２１地段, Kowloon Tong;22.327563, 114.176437
Diocesan Boys’ School Primary Division;6;school;Primary School;131 Argyle St, Kadoorie Hill;22.321312, 114.173437
Clement Art School (Olympic);0;school;School;34 Cherry St, Tai Kok Tsui;22.319187, 114.163187
香港理工大學玻璃天幕;1;school;School;Hung Hom Bay;22.304438, 114.179688
Christian Alliance International School;10;school;International School;Cheung Sha Wan, King Lam St, 33號Lai Chi Kok;22.324688, 114.186938
Tony Wong;0;school;School;Tsung Tsin School, 58 Tai Po Rd, Tong Mi;22.329063, 114.167813
Phase 8 (Block Z), The Hong Kong Polytechnic University;0;school;School;181 Chatham Rd S, Hung Hom Bay;22.306688, 114.179438
Jockey Club Sarah Roe School;2;school;School;2B Tin Kwong Rd, Ho Man Tin;22.322313, 114.183062
Kowloon Junior School;15;school;International School;20 Perth St, Ho Man Tin;22.321688, 114.181937
The Church of Christ in China Heep Woh Primary School (Cheung Sha Wan);32;school;Primary School;18號 Tonkin St, Cheung Sha Wan;22.334938, 114.157937
School of Biomedical Sciences;1;school;Laboratory;F-4/F,, 21 Sassoon Rd, Pok Fu Lam;22.267563, 114.128813
Hong Kong Community College (West Kowloon);3;school;School;9 Hoi Ting Road, Mong Kok;22.312688, 114.165188
Pentecostal School;20;school;Co-ed School;Ho Man Tin, Perth St, 14號;22.321312, 114.181312
The Woodland Happy Valley Pre-School;1;school;Preschool;2 Hawthorn Road, Happy Valley;22.266187, 114.187563
Christian Alliance International School;2;school;School;33 King Lam St, Lai Chi Kok;22.338938, 114.145563
Confucius Hall Secondary School;15;school;Middle School;77 Caroline Hill Rd, Causeway Bay;22.274563, 114.187563
Delia Memorial School (Broadway);19;school;High school;80-86, Broadway, Mei Foo Sun Chuen;22.335562, 114.140688
Princess School;1;school;School;18 Ocean Park Rd, Ocean Park;22.246813, 114.174438
Canadian International School Private Swimming Pool;1;school;School;36 Nam Long Shan Rd, Aberdeen;22.241812, 114.167313
The Church of Christ in China Hong Kong Council Hip Woh School (Kindergarten Section);5;school;Kindergarten;231 Sai Yeung Choi St N, Tong Mi;22.328062, 114.167562
Delia English Primary School & Kindergarten (Kindergarten Section);0;school;School;Mei Foo Sun Chuen, Shop 138, Stage 8, Podium Floor, Mei Foo Sun Chuen;22.334938, 114.141938
Kingston International School (Lower Primary & Upper Primary);12;school;International School;105 & 113 Waterloo Rd, Kowloon Tong;22.327438, 114.178063
HK True Light Middle School Primary Section;19;school;Primary School;50 Tai Hang Rd, Causeway Bay;22.276063, 114.194688
Homantin Government Secondary School;22;school;High school;8 Perth St, Ho Man Tin;22.321063, 114.180313
Cheung Sha Wan Catholic Secondary School;37;school;Middle School;533 Fuk Wing St, Cheung Sha Wan;22.338688, 114.153687
Kowloon Technical School;30;school;Middle School;332-334 Cheung Sha Wan Rd, Sham Shui Po;22.333813, 114.158938
Delia English Primary School & Kindergarten;10;school;Primary School;84-86 Broadway, Mei Foo Sun Chuen;22.335063, 114.140813
Concordia International School;14;school;International School;68 Begonia Rd, Kowloon Tong;
Saint Too Sear Rogers International School;7;school;International School;15 Tong Yam St, Shek Kip Mei;22.329938, 114.170313
CAIS;8;school;International School;8 King Lam St, Cheung Sha Wan;22.338313, 114.144688
